word_id,arabic_word,subtoken_word,root,morphology,pos,lemma,verse_id,sura,ayah,word_position
18,اهدنا,ٱهْدِ,هدي,IMPV|VF:1|2MS,V,هَدَى,6,1,6,1
143,امنوا,ءَامِنُ,أمن,IMPV|VF:4|2MP,V,آمَنَ,20,2,13,4
262,اعبدوا,ٱعْبُدُ,عبد,IMPV|VF:1|2MP,V,عَبَدَ,28,2,21,3
302,فاتوا,أْتُ,أتي,IMPV|VF:1|2MP,V,أَتَى,30,2,23,9
306,وادعوا,ٱدْعُ,دعو,IMPV|VF:1|2MP,V,دَعا,30,2,23,13
319,فاتقوا,ٱتَّقُ,وقي,IMPV|VF:8|2MP,V,اتَّقَى,31,2,24,6
327,وبشر,بَشِّرِ,بشر,IMPV|VF:2|2MS,V,بُشِّرَ,32,2,25,1
489,انبـونى,أَنۢبِـُٔ,نبأ,IMPV|VF:4|2MP,V,أَنۢبَأَ,38,2,31,10
509,انبئهم,أَنۢبِئْ,نبأ,IMPV|VF:4|2MS,V,أَنۢبَأَ,40,2,33,3
532,اسجدوا,ٱسْجُدُ,سجد,IMPV|VF:1|2MP,V,سَجَدَ,41,2,34,4
544,اسكن,ٱسْكُنْ,سكن,IMPV|VF:1|2MS,V,سَكَنَ,42,2,35,3
548,وكلا,كُلَ,أكل,IMPV|VF:1|2D,V,أَكَلَ,42,2,35,7
568,اهبطوا,ٱهْبِطُ,هبط,IMPV|VF:1|2MP,V,يَهْبِطُ,43,2,36,9
591,اهبطوا,ٱهْبِطُ,هبط,IMPV|VF:1|2MP,V,يَهْبِطُ,45,2,38,2
619,اذكروا,ٱذْكُرُ,ذكر,IMPV|VF:1|2MP,V,ذَكَرَ,47,2,40,3
624,واوفوا,أَوْفُ,وفي,IMPV|VF:4|2MP,V,أَوْفَى,47,2,40,8
629,فارهبون,ٱرْهَبُ,رهب,IMPV|VF:1|2MP,V,يَرْهَبُ,47,2,40,13
630,وامنوا,ءَامِنُ,أمن,IMPV|VF:4|2MP,V,آمَنَ,48,2,41,1
647,فاتقون,ٱتَّقُ,وقي,IMPV|VF:8|2MP,V,اتَّقَى,48,2,41,18
656,واقيموا,أَقِيمُ,قوم,IMPV|VF:4|2MP,V,أَقامَ,50,2,43,1
658,واتوا,ءَاتُ,أتي,IMPV|VF:4|2MP,V,آتَى,50,2,43,3
660,واركعوا,ٱرْكَعُ,ركع,IMPV|VF:1|2MP,V,يَرْكَعُ,50,2,43,5
673,واستعينوا,ٱسْتَعِينُ,عون,IMPV|VF:10|2MP,V,اسْتَعِينُ,52,2,45,1
691,اذكروا,ٱذْكُرُ,ذكر,IMPV|VF:1|2MP,V,ذَكَرَ,54,2,47,3
700,واتقوا,ٱتَّقُ,وقي,IMPV|VF:8|2MP,V,اتَّقَى,55,2,48,1
784,فتوبوا,تُوبُ,توب,IMPV|VF:1|2MP,V,تابَ,61,2,54,11
787,فاقتلوا,ٱقْتُلُ,قتل,IMPV|VF:1|2MP,V,قَتَلَ,61,2,54,14
828,كلوا,كُلُ,أكل,IMPV|VF:1|2MP,V,أَكَلَ,64,2,57,8
841,ادخلوا,ٱدْخُلُ,دخل,IMPV|VF:1|2MP,V,دَخَلَ,65,2,58,3
844,فكلوا,كُلُ,أكل,IMPV|VF:1|2MP,V,أَكَلَ,65,2,58,6
849,وادخلوا,ٱدْخُلُ,دخل,IMPV|VF:1|2MP,V,دَخَلَ,65,2,58,11
852,وقولوا,قُولُ,قول,IMPV|VF:1|2MP,V,قالَ,65,2,58,14
