Root,Word,Count
سمو،وسم,بسم,1
لوه,الله,2153
لوه,بالله,139
لوه,والله,240
لوه,فالله,6
لوه,ابالله,1
لوه,تالله,8
لوه,وتالله,1
رحم,الرحمن,45
رحم,الرحيم,34
رحم,ورحمته,7
رحم,برحمته,2
رحم,رحيم,59
رحم,ورحمة,24
رحم,رحمت,6
رحم,ارحامهن,1
رحم,وارحمنا,3
رحم,الارحام,6
رحم,رحمة,34
رحم,ترحمون,8
رحم,والارحام,1
رحم,رحيما,19
رحم,الرحمة,6
رحم,رحمه,1
رحم,ارحام,2
رحم,رحيمۢ,2
رحم,وترحمنا,1
رحم,برحمة,7
رحم,رحمته,16
رحم,يرحمنا,1
رحم,رحمتك,1
رحم,ارحم,4
رحم,الرحمين,6
رحم,ورحمتى,1
رحم,سيرحمهم,1
رحم,وبرحمته,1
رحم,برحمتك,2
رحم,رحم,4
رحم,وترحمنى,1
رحم,برحمتنا,1
رحم,بالرحمن,3
رحم,يرحمكم,2
رحم,ارحمهما,1
رحم,رحما,2
رحم,للرحمن,9
رحم,رحمتنا,4
رحم,رحمنهم,1
رحم,وارحم,1
رحم,ويرحم,1
رحم,رحمتى,1
رحم,لرحمة,1
رحم,رحيمۢا,1
رحم,ورحمت,1
رحم,ارحامكم,2
رحم,رحمنا,1
رحم,بالمرحمة,1
حمد,الحمد,26
حمد,بحمدك,1
حمد,حميد,6
حمد,محمد,4
حمد,يحمدوا,1
حمد,حميدا,1
حمد,والحمد,2
حمد,الحمدون,1
حمد,بحمده,4
حمد,الحميد,10
حمد,بحمد,10
حمد,محمودا,1
حمد,احمد,1
أله,لله,116
أله,ولله,27
أله,الهك,2
أله,واله,2
أله,الها,16
أله,والهكم,2
أله,اله,78
أله,اللهم,5
أله,الهين,2
أله,الهة,17
أله,فلله,6
أله,والهتك,1
أله,الله,2
أله,الهتنا,6
أله,الهتهم,2
أله,الهكم,7
أله,الهتى,1
أله,الهتكم,4
أله,بـالهتنا,2
أله,فالهكم,1
أله,الهه,2
أله,والهنا,1
أله,الالهة,1
ربب,رب,128
ربب,ربهم,111
ربب,ربكم,102
ربب,ربك,220
ربب,ربه,73
ربب,ربنا,106
ربب,لرب,4
ربب,وربكم,10
ربب,ربى,94
ربب,ربها,7
ربب,لربك,2
ربب,اربابا,3
ربب,ربنين,1
ربب,ربيون,1
ربب,بربكم,5
ربب,وربئبكم,1
ربب,وربك,11
ربب,والربنيون,1
ربب,الربنيون,1
ربب,بربهم,9
ربب,وربنا,3
ربب,ربا,1
ربب,ربكما,33
ربب,ربهما,3
ربب,برب,8
ربب,لربهم,5
ربب,وربى,3
ربب,ارباب,1
ربب,فوربك,2
ربب,بربك,5
ربب,لربه,2
ربب,فربكم,1
ربب,بربى,4
ربب,بربنا,2
ربب,ورب,8
ربب,يرب,2
ربب,الربك,1
ربب,لربكم,1
ربب,فورب,1
ربب,بربه,1
ربب,ولربك,1
ربب,لربها,2
علم,العلمين,61
علم,يعلمون,82
علم,تعلمون,56
علم,فيعلمون,1
علم,عليم,106
علم,اعلم,55
علم,وعلم,2
علم,علم,75
علم,علمتنا,1
علم,العليم,32
علم,واعلم,4
علم,علمتم,6
علم,يعلم,71
علم,يعلمان,1
علم,فيتعلمون,1
علم,ويتعلمون,1
علم,علموا,1
علم,تعلم,9
علم,العلم,28
علم,ويعلمهم,3
علم,لنعلم,4
علم,ليعلمون,1
علم,ويعلمكم,3
علم,واعلموا,18
علم,معلومت,2
علم,يعلمه,5
علم,فاعلموا,6
علم,علمكم,4
علم,وعلمه,1
علم,علمه,4
علم,ويعلم,12
علم,ويعلمه,1
علم,للعلمين,13
علم,وليعلم,6
علم,نعلم,6
علم,عليما,22
علم,تعلموا,5
علم,لعلمه,1
علم,وعلمك,1
علم,بعلمه,4
علم,تعلمونهن,1
علم,فاعلم,3
علم,ليعلم,5
علم,لتعلموا,3
علم,اعلموا,3
علم,علمتك,1
علم,ونعلم,2
علم,علمته,1
علم,باعلم,2
علم,يعلمها,2
علم,علما,8
علم,وعلمتم,1
علم,بعلم,3
علم,اتعلمون,2
علم,علمها,4
علم,تعلمونهم,1
علم,يعلمهم,3
علم,وتعلم,1
علم,يعلموا,5
علم,تعلمهم,1
علم,نعلمهم,1
علم,تعلمها,1
علم,علمت,8
علم,لتعلم,1
علم,ويعلمك,1
علم,ولنعلمه,1
علم,وعلما,5
علم,علمنى,1
علم,بعلمين,1
علم,علمنا,7
علم,علمنه,2
علم,وعلمتنى,1
علم,وسيعلم,2
علم,وليعلموا,1
علم,معلوم,9
علم,المعلوم,2
علم,وعلمت,1
علم,ولتعلموا,1
علم,ليعلموا,1
علم,وعلمنه,2
علم,تعلمن,1
علم,فسيعلمون,2
علم,ولتعلمن,2
علم,فستعلمون,3
علم,علمين,2
علم,لعليم,1
علم,ويعلمون,2
علم,علمى,1
علم,علمؤا,1
علم,علمهم,1
علم,ولتعلم,1
علم,فعلموا,1
علم,فليعلمن,1
علم,وليعلمن,3
علم,العلمون,1
علم,العلمؤا,1
علم,علمۭ,2
علم,كالاعلم,2
علم,لعلم,1
علم,معلم,1
علم,فعلم,2
علم,تعلموهم,1
علم,سيعلمون,3
علم,علمتموهن,1
علم,علمۢا,1
ملك,ملك,33
ملك,للملئكة,9
ملك,الملئكة,38
ملك,وملئكته,5
ملك,الملكين,1
ملك,والملئكة,14
ملك,ملكا,7
ملك,الملك,28
ملك,بالملك,1
ملك,ملكه,3
ملك,ملكت,15
ملك,يملك,9
ملك,ملوكا,1
ملك,املك,5
ملك,تملك,2
ملك,ملكوت,4
ملك,ملكين,1
ملك,يملكون,10
ملك,بالملئكة,1
ملك,مملوكا,1
ملك,ملئكة,6
ملك,تملكون,2
ملك,بملكنا,1
ملك,وملك,1
ملك,ملكتم,1
ملك,تملكهم,1
ملك,الملوك,1
ملك,ملكون,1
ملك,مليك,1
ملك,والملك,2
ملك,وملكا,1
يوم,يوم,217
يوم,وباليوم,1
يوم,يوما,16
يوم,واليوم,23
يوم,اياما,3
يوم,ويوم,44
يوم,ايام,20
يوم,يومين,3
يوم,اليوم,41
يوم,ليوم,8
يوم,الايام,2
يوم,يومئذ,60
يوم,باليوم,2
يوم,يومكم,5
يوم,فاليوم,8
يوم,يومهم,5
يوم,بايىم,1
يوم,ويومئذ,1
يوم,فيومئذ,4
يوم,واياما,1
يوم,بيوم,5
يوم,يومئذۭ,5
دين,الدين,47
دين,دينكم,10
دين,دينه,2
دين,تداينتم,1
دين,بدين,1
دين,دينهم,10
دين,دين,11
دين,دينا,4
دين,يدينون,1
دين,ودين,3
دين,دينى,2
دين,للدين,3
دين,لمدينون,1
دين,بدينكم,1
دين,مدينين,1
دين,بالدين,3
عبد,نعبد,6
عبد,اعبدوا,17
عبد,عبدنا,7
عبد,تعبدون,20
عبد,عباده,25
عبد,عبدون,4
عبد,والعبد,1
عبد,بالعبد,1
عبد,عبادى,9
عبد,بالعباد,5
عبد,ولعبد,1
عبد,فاعبدوه,5
عبد,عبادا,2
عبد,للعبيد,5
عبد,واعبدوا,3
عبد,عبادك,7
عبد,عبدا,6
عبد,عبادته,3
عبد,وعبد,1
عبد,اتعبدون,2
عبد,اعبد,13
عبد,لعباده,3
عبد,لنعبد,1
عبد,يعبد,8
عبد,عباد,10
عبد,ليعبدوا,2
عبد,العبدون,1
عبد,ويعبدون,4
عبد,عبادتكم,1
عبد,تعبدوا,7
عبد,يعبدون,9
عبد,فاعبده,2
عبد,عبادنا,10
عبد,لعبادى,2
عبد,واعبد,1
عبد,بعبده,1
عبد,بعباده,6
عبد,عبده,6
عبد,بعبادة,1
عبد,عبد,6
عبد,تعبد,3
عبد,لعبدته,1
عبد,بعبادتهم,2
عبد,فاعبدنى,1
عبد,بعبادى,3
عبد,فاعبدون,3
عبد,عبدين,4
عبد,افتعبدون,1
عبد,للعبدين,1
عبد,عبادكم,1
عبد,يعبدوننى,1
عبد,وعباد,1
عبد,عبدت,2
عبد,واعبدوه,1
عبد,يعبادى,2
عبد,العباد,2
عبد,اعبدونى,1
عبد,لعبادنا,1
عبد,العبد,2
عبد,فاعبد,2
عبد,نعبدهم,1
عبد,يعباد,3
عبد,فاعبدوا,1
عبد,يعبدوها,1
عبد,للعباد,2
عبد,عبادتى,1
عبد,عبدنهم,1
عبد,العبدين,1
عبد,ليعبدون,1
